Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
19,St Etienne,Dijon,3,0,H,4,19,62,31,55,29,40,55,15,-26,74,35
19,Strasbourg,Nice,2,0,H,11,7,46,53,57,28,46,32,11,-4,37,50
19,Bordeaux,Amiens,1,1,D,14,16,38,35,33,29,41,49,-8,-20,70,36
18,Amiens,Angers,0,0,D,16,13,35,45,29,43,49,43,-20,0,36,30
18,Nantes,Montpellier,2,0,H,10,5,47,58,47,52,46,40,1,12,60,41
20,Caen,Lille,1,3,A,18,2,33,72,29,62,49,30,-20,32,34,90
20,Lyon,Reims,1,1,D,3,9,66,49,63,35,45,41,18,-6,285,40
20,Amiens,Paris SG,0,3,A,16,1,35,88,29,100,49,32,-20,68,36,500
20,Guingamp,St Etienne,0,1,A,20,4,26,62,25,55,64,40,-39,15,30,74
20,Nice,Bordeaux,1,0,H,7,14,53,38,28,33,32,41,-4,-8,50,70
20,Dijon,Montpellier,1,1,D,19,5,31,58,29,52,55,40,-26,12,35,41
20,Marseille,Monaco,1,1,D,6,17,55,33,54,36,50,55,4,-19,150,215
20,Nantes,Rennes,0,1,A,10,12,47,46,47,50,46,51,1,-1,60,68
20,Toulouse,Strasbourg,1,2,A,15,11,38,46,32,57,50,46,-18,11,35,37
17,Angers,Bordeaux,1,2,A,13,14,45,38,43,33,43,41,0,-8,30,70
18,Guingamp,Rennes,2,1,H,20,12,26,46,25,50,64,51,-39,-1,30,68
17,Monaco,Nice,1,1,D,17,7,33,53,36,28,55,32,-19,-4,215,50
17,Nimes,Nantes,1,0,H,8,10,52,47,53,47,53,46,0,1,20,60
17,St Etienne,Marseille,2,1,H,4,6,62,55,55,54,40,50,15,4,74,150
17,Toulouse,Lyon,2,2,D,15,3,38,66,32,63,50,45,-18,18,35,285
21,Lille,Amiens,2,1,H,2,16,72,35,62,29,30,49,32,-20,90,36
21,Monaco,Strasbourg,1,5,A,17,11,33,46,36,57,55,46,-19,11,215,37
21,Nimes,Toulouse,0,1,A,8,15,52,38,53,32,53,50,0,-18,20,35
21,Paris SG,Guingamp,9,0,H,1,20,88,26,100,25,32,64,68,-39,500,30
21,Reims,Nice,1,1,D,9,7,49,53,35,28,41,32,-6,-4,40,50
21,Angers,Nantes,1,0,H,13,10,45,47,43,47,43,46,0,1,30,60
21,Bordeaux,Dijon,1,0,H,14,19,38,31,33,29,41,55,-8,-26,70,35
21,Caen,Marseille,0,1,A,18,6,33,55,29,54,49,50,-20,4,34,150
21,Rennes,Montpellier,0,0,D,12,5,46,58,50,52,51,40,-1,12,68,41
21,St Etienne,Lyon,1,2,A,4,3,62,66,55,63,40,45,15,18,74,285
20,Nimes,Angers,3,1,H,8,13,52,45,53,43,53,43,0,0,20,30
22,Marseille,Lille,1,2,A,6,2,55,72,54,62,50,30,4,32,150,90
22,Dijon,Monaco,2,0,H,19,17,31,33,29,36,55,55,-26,-19,35,215
22,Guingamp,Reims,0,1,A,20,9,26,49,25,35,64,41,-39,-6,30,40
22,Nice,Nimes,2,0,H,7,8,53,52,28,53,32,53,-4,0,50,20
22,Strasbourg,Bordeaux,1,0,H,11,14,46,38,57,33,46,41,11,-8,37,70
22,Amiens,Lyon,0,1,A,16,3,35,66,29,63,49,45,-20,18,36,285
22,Montpellier,Caen,2,0,H,5,18,58,33,52,29,40,49,12,-20,41,34
22,Paris SG,Rennes,4,1,H,1,12,88,46,100,50,32,51,68,-1,500,68
22,Toulouse,Angers,0,0,D,15,13,38,45,32,43,50,43,-18,0,35,30
22,Nantes,St Etienne,1,1,D,10,4,47,62,47,55,46,40,1,15,60,74
23,Lille,Nice,4,0,H,2,7,72,53,62,28,30,32,32,-4,90,50
23,Angers,Dijon,1,0,H,13,19,45,31,43,29,43,55,0,-26,30,35
23,Monaco,Toulouse,2,1,H,17,15,33,38,36,32,55,50,-19,-18,215,35
23,Reims,Marseille,2,1,H,9,6,49,55,35,54,41,50,-6,4,40,150
23,Rennes,Amiens,1,0,H,12,16,46,35,50,29,51,49,-1,-20,68,36
23,Lyon,Paris SG,2,1,H,3,1,66,88,63,100,45,32,18,68,285,500
23,Nimes,Montpellier,1,1,D,8,5,52,58,53,52,53,40,0,12,20,41
18,Marseille,Bordeaux,1,0,H,6,14,55,38,54,33,50,41,4,-8,150,70
24,Dijon,Marseille,1,2,A,19,6,31,55,29,54,55,50,-26,4,35,150
24,Amiens,Caen,1,0,H,16,18,35,33,29,29,49,49,-20,-20,36,34
24,Paris SG,Bordeaux,1,0,H,1,14,88,38,100,33,32,41,68,-8,500,70
24,Strasbourg,Angers,1,2,A,11,13,46,45,57,43,46,43,11,0,37,30
24,Guingamp,Lille,0,2,A,20,2,26,72,25,62,64,30,-39,32,30,90
24,Montpellier,Monaco,2,2,D,5,17,58,33,52,36,40,55,12,-19,41,215
24,Nantes,Nimes,2,4,A,10,8,47,52,47,53,46,53,1,0,60,20
24,Nice,Lyon,1,0,H,7,3,53,66,28,63,32,45,-4,18,50,285
