Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
27,3,15,5,1,1,66,38,63,32,45,50,18,-18,285,35
27,6,4,2,0,1,55,62,54,55,50,40,4,15,150,74
27,7,11,1,0,1,53,46,28,57,32,46,-4,11,50,37
27,14,5,1,2,0,38,58,33,52,41,40,-8,12,70,41
28,16,8,2,1,1,35,52,29,53,49,53,-20,0,36,20
28,19,9,1,1,0,5,31,49,29,35,55,41,-26,-6,35,40
28,17,14,1,1,0,5,33,38,36,33,55,41,-19,-8,215,70
28,11,3,2,2,0,5,46,66,57,63,46,45,11,18,37,285
28,6,7,1,0,1,55,53,54,28,50,32,4,-4,150,50
28,5,13,2,2,0,5,58,45,52,43,40,43,12,0,41,30
28,12,18,3,1,1,46,33,50,29,51,49,-1,-20,68,34
28,4,2,0,1,0,62,72,55,62,40,30,15,32,74,90
28,15,20,1,0,1,38,26,32,25,50,64,-18,-39,35,30
18,19,1,0,4,0,31,88,29,100,55,32,-26,68,35,500
29,2,17,0,1,0,72,33,62,36,30,55,32,-19,90,215
29,7,15,1,1,0,5,53,38,28,32,32,50,-4,-18,50,35
29,13,16,0,0,0,5,45,35,43,29,43,49,0,-20,30,36
29,18,4,0,5,0,33,62,29,55,49,40,-20,15,34,74
29,20,19,1,0,1,26,31,25,29,64,55,-39,-26,30,35
29,8,11,2,2,0,5,52,46,53,57,53,46,0,11,20,37
29,14,12,1,1,0,5,38,46,33,50,41,51,-8,-1,70,68
29,3,5,3,2,1,66,58,63,52,45,40,18,12,285,41
29,1,6,3,1,1,88,55,100,54,32,50,68,4,500,150
29,9,10,1,0,1,49,47,35,47,41,46,-6,1,40,60
30,12,3,0,1,0,46,66,50,63,51,45,-1,18,68,285
30,6,13,2,2,0,5,55,45,54,43,50,43,4,0,150,30
30,16,14,0,0,0,5,35,38,29,33,49,41,-20,-8,36,70
30,19,7,0,1,0,31,53,29,28,55,32,-26,-4,35,50
30,17,18,0,1,0,33,33,36,29,55,49,-19,-20,215,34
